"","Weather Forecast for Main Cities","","","","27-Apr-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","37","26","90","55","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","33","26","95","70","Mainly fair"
"Colombo","33","26","90","65","Showers or thundershowers after 4.00p.m"
"Galle","32","26","95","70","Showers or thundershowers after 2.00p.m"
"Jaffna","37","26","95","55","Mainly fair"
"Kandy","35","23","95","45","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","23","13","90","45","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","35","24","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","26","95","60","Mainly fair"
"Mannar","35","27","90","55","Mainly fair"
