"","Weather Forecast for Main Cities","","","","18-Apr-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","24","95","55","Mainly fair"
"Batticaloa","32","26","90","65","Mainly fair"
"Colombo","32","26","90","65","Showers or thundershowers are likely after 4.00p.m"
"Galle","32","26","90","70","Showers or thundershowers after 4.00p.m"
"Jaffna","36","24","80","50","Mainly fair"
"Kandy","32","21","95","65","Mainly fair"
"Nuwara-Eliya","23","11","95","40","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","34","23","95","65","Showers or thundershowers are likely after 4.00p.m"
"Trincomalee","35","25","90","55","Mainly fair"
"Mannar","34","26","90","70","Mainly fair"
