"","Weather Forecast for Main Cities","","","Date :","2024-10-05"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","26","95","50","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","33","25","90","75","Showers or thundershowers after 2.00p.m"
"Colombo","32","26","85","65","Several spells of showers"
"Galle","31","27","85","80","Several spells of showers"
"Jaffna","33","27","80","65","Showers or thundershowers are likely after 2.00p.m"
"Kandy","31","21","95","55","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","22","13","75","60","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","34","23","95","60","Several spells of light showers"
"Trincomalee","35","25","85","50","Showers or thundershowers after 2.00p.m"
"Mannar","32","28","85","70","Showers or thundershowers are likely after 2.00p.m"
