"","Weather Forecast for Main Cities","","","","2-May-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","37","26","90","45","Mainly fair"
"Batticaloa","34","27","90","70","Mainly fair"
"Colombo","33","25","90","65","Showers or thundershowers are likely after 4.00p.m"
"Galle","32","25","95","70","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","35","28","95","65","Mainly fair"
"Kandy","34","22","95","50","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","24","13","95","65","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","34","25","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","36","27","90","60","Mainly fair"
"Mannar","34","26","95","65","Showers or thundershowers are likely after 2.00p.m"
