"","Weather Forecast for Main Cities","","","Date :","26-Aug-2025"
"","Temperature (0C)","","Relative Humidity (%)","",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","85","45","Mainly fair"
"Batticaloa","33","26","80","60","Mainly fair"
"Colombo","31","26","85","70","A few showers"
"Galle","29","25","90","80","A few showers"
"Jaffna","33","27","80","65","Mainly fair"
"Kandy","30","21","90","60","Mainly fair"
"Nuwara-Eliya","21","14","90","65","Mainly fair"
"Ratnapura","34","23","95","65","A few showers"
"Trincomalee","36","25","85","45","Mainly fair"
"Mannar","32","27","80","65","Mainly fair"
