"ගම්පහ","13","28093","110420","3","1","","5","216","ක්‍රියාන්ිත 
පාළන 
17","397","1432","251","1078"
"රත්තනපුර","10","2028","8099","3","1","","6","511","7","58","214","708","2718"
"","ගංවතුර /","","","","","","","","","","","",""
"ලකාළඹ","06","12063","50011","1","","","","30","35","4845","21271","",""
"","තද","","","","","","","","","","","",""
"පුත්තතලම","14","7788","29131","2","","","","56","3","08","19","4886","19615"
"","වර්ෂාපත","","","","","","","","","","","",""
"කළුතර","14","1382","5173","3","2","","4","70","11","39","169","",""
"","නය /","","","","","","","","","","","",""
"නුවරඑළිය","01","70","301","","1","","","1","1","1","5","",""
"","දැඩි සුළං","","","","","","","","","","","",""
"කෑගේල","11","253","1059","5","","","3","121","3","12","54","54","229"
"","/  නාය","","","","","","","","","","","",""
"මහනුවර","04","10","35","","","","","10","","","","",""
"","යාම්","","","","","","","","","","","",""
"කුරුණෑගල","13","1008","3653","0","0","1","2","24","","","","",""
"ගාේල","01","","","1","","","","","","","","",""
"එකතුව","87","52695","207882","18","5","1","20","1039","77","5360","23164","5899","23640"
