"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","30","23","95","55","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"මඩකලපුව","31","25","90","60","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"හකාළඹ","30","26","90","75","වැසි වාර කිහිපයක්"
"ගාල්ල","29","25","90","75","වැසි වාර කිහිපයක්"
"යාපනය","31","25","90","65","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ම නුවර","27","23","95","65","වැසි වාර කිහිපයක්"
"නුවරඑළිය","18","14","95","75","වැසි වාර කිහිපයක්"
"රත්නපුරය","30","24","95","75","වැසි වාර කිහිපයක්"
"ත්‍රිකුණාමලය","31","24","95","60","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"මන්නාරම","31","26","90","70","වැසි වාර කිහිපයක්"
