"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","31","24","95","70","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"මඩකලපුව","31","24","95","60","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"හකාළඹ","29","24","95","85","වැසි වාර කිහිපයක්"
"ගාල්ල","28","24","95","80","වැසි වාර කිහිපයක්"
"යාපනය","30","24","95","75","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ම නුවර","28","21","95","75","වැසි වාර කිහිපයක්"
"නුවරඑළිය","18","14","95","80","වැසි වාර කිහිපයක්"
"රත්නපුරය","29","23","95","80","වැසි වාර කිහිපයක්"
"ත්‍රිකුණාමලය","31","25","95","75","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
