"","Weather Forecast for Main Cities","","","","17-Dec-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","29","23","95","65","Showers or thundershowers at times"
"Batticaloa","29","25","90","70","Showers or thundershowers at times"
"Colombo","30","25","90","60","Several spells of showers"
"Galle","30","25","95","75","Showers or thundershowers after 2.00p.m"
"Jaffna","28","24","95","70","Showers or thundershowers at times"
"Kandy","28","20","95","65","Several spells of showers"
"Nuwara-Eliya","20","14","95","60","Showers or thundershowers"
"Ratnapura","29","23","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","29","24","90","70","Showers or thundershowers at times"
"Mannar","28","24","90","65","Several spells of showers"
