"","Weather Forecast for Main Cities","","","Date :","5-Sep-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","25","80","50","Mainly fair"
"Batticaloa","37","26","85","55","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","26","85","70","A few showers"
"Galle","29","27","85","75","A few showers"
"Jaffna","34","27","90","60","A few showers"
"Kandy","30","23","85","60","A few showers"
"Nuwara-Eliya","20","14","95","70","Mainly fair"
"Ratnapura","34","25","90","65","A few showers"
"Trincomalee","37","26","80","40","Showers or thundershowers are likely after 2.00p.m"
"Mannar","32","27","85","70","Mainly fair"
