"","","Locations for Potential Risk",""
"","නායයෑමේ අවදානම පැවතිය හැකි ප්‍රමේශ   fdjpahd mghaKs;s ,lq;fs;","",""
"District","","Level 1 (Yellow)","Level 2 (Amber)"
"","Baddegama,","",""
"","Elpitiya and","",""
"","Neluwa","",""
"Galle","","",""
"","","ivisional Secretariat",""
"","Division(s) (DSD) and","",""
"","surrounding areas.","",""
"","Palindanuwara,","",""
"","Bulathsinhala,","",""
"","Agalawatta and","",""
"","Dodangoda","",""
"Kalutara","","",""
"","D","ivisional Secretariat",""
"","Division(s) (DSD) and","",""
"","surrounding areas.","",""
"","Pathahewaheta,","",""
"","Doluwa and","",""
"","Gangawata Korale","",""
"Kandy","","",""
"","","ivisional Secretariat",""
"","Division(s) (DSD) and","",""
"","surrounding areas.","",""
"","Yatiyanthota,","",""
"","Deraniyagala,","",""
"","Ruwanwella and","",""
"","Dehiowita","",""
"Kegalle","","",""
"","D","ivisional Secretariat",""
"","Division(s) (DSD) and","",""
"","surrounding areas.","",""
"","Eheliyagoda,","",""
"","Ayagama,","",""
"","Ratnapura and","",""
"","Embilipitiya","",""
"Ratnapura","","",""
"","D","ivisional Secretariat",""
"","Division(s) (DSD) and","",""
"","surrounding areas.","",""
"Note: ↑shifted one level up, ↑↑shifted two levels up, ↓shifted one level down, ↓↓shifted two levels down.","","",""
