"","Weather Forecast for Main Cities","","","Date :","2024-10-10"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","24","90","60","Showers or thundershowers after 2.00p.m"
"Batticaloa","31","25","95","70","Showers or thundershowers after 2.00p.m"
"Colombo","30","24","95","75","Showers or thundershowers"
"Galle","30","24","95","80","Showers or thundershowers"
"Jaffna","33","26","95","75","Showers or thundershowers"
"Kandy","30","22","95","65","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","23","14","95","85","Showers or thundershowers after 2.00p.m"
"Ratnapura","31","23","95","75","Showers or thundershowers at times"
"Trincomalee","32","24","95","70","Showers or thundershowers after 2.00p.m"
"Mannar","30","25","90","75","Showers or thundershowers after 2.00p.m"
