"","ප්‍රධ්‍ාන්‍  න්‍ෙර සදහා කාලගුණ අන්‍ාවැකිය","","","දින්‍ය :     2025-01-19",""
"","","උෂ්ණත්වය(යස. අංශ්‍ක)","","සායේක්ෂ ආර්ද්‍රතාවය(%)",""
"න්‍ෙරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","30","23","95","70","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"මඩකලපුව","28","24","95","75","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"හකාළඹ","32","24","90","50","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ොේල","28","24","90","75","විටින් විට වැසි"
"යාපනය","29","24","85","70","වැසි වාර කිහිපයක්"
"ම නුවර","29","21","95","65","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"නුවරඑළිය","18","13","95","70","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"රත්නපුරය","31","22","95","65","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ිකුණාමලය","28","24","95","75","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"මන්නාරම","28","25","90","70","වැසි වාර කිහිපයක්"
