"","Weather Forecast for Main Cities","","","","27-Dec-2023"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","25","95","70","Several spells of showers"
"Batticaloa","29","25","95","75","Showers at times"
"Colombo","33","24","90","70","Showers or thundershowers are likely after 2.00p.m"
"Galle","33","25","90","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","30","24","90","75","Showers at times"
"Kandy","29","21","95","75","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","17","10","95","80","Several spells of showers"
"Ratnapura","33","22","95","80","Showers or thundershowers after 2.00p.m"
"Trincomalee","29","24","95","80","Showers at times"
"Mannar","29","24","90","75","Several spells of showers"
