"","Weather Forecast for Main Cities","","","","4-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","23","95","45","Mainly fair"
"Batticaloa","31","24","90","75","Mainly fair"
"Colombo","34","24","90","55","Mainly fair"
"Galle","32","25","90","70","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","33","24","90","65","Mainly fair"
"Kandy","33","18","95","55","Mainly fair"
"Nuwara-Eliya","23","9","95","55","Mainly fair"
"Ratnapura","35","22","95","45","Showers or thundershowers are likely after 4.00p.m"
"Trincomalee","32","25","85","65","Mainly fair"
"Mannar","32","24","95","65","Mainly fair"
