"","Weather Forecast for Main Cities","","","","12-Jul-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","90","70","Mainly fair"
"Batticaloa","32","26","90","70","Mainly fair"
"Colombo","30","27","90","80","A few showers"
"Galle","29","27","95","90","A few showers"
"Jaffna","32","24","95","75","Mainly fair"
"Kandy","29","21","95","70","A few showers"
"Nuwara-Eliya","21","15","95","71","A few showers"
"Ratnapura","31","24","95","70","A few showers"
"Trincomalee","33","26","90","65","Mainly fair"
"Mannar","32","25","95","80","Mainly fair"
