"වයඹ පලාත","","","","","","","","","","","","",""
"Mundalama","","61","254","Page 4","","","","61","","1","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"tlNky; khfhzk;","","","","","","","","","","","","",""
"karuwalagaswewa
    North Western","","22","80","","","","","22","1","1","","",""
"","2020.08.05","","","","","","","","","","","",""
"Wanathavilluwa","","18","68","","","","","7","11","","","",""
"","","1","7","","","","","2","","","","",""
"Pallama","","","","","","","","","","","","",""
"","2020.08.06","1","3","","","","","1","","","","",""
"","2020.08.05","7","22","","","","","7","","","","",""
"Anamaduwa
පුත්තලම","","","","","","","","","","","","",""
"","High Wind
2020.08.06","1","4","","","","","1","","","","",""
"11
Gj;jsk;","","","","","","","","","","","","",""
"","2020.08.05","1","15","","","","","3","","","","",""
"Puttalam
Naththandiya","","","","","","","","","","","","",""
"","2020.08.08","1","4","","","","","1","","","","",""
"Halawatha","2020.08.06","3","12","","","","","3","","","","",""
"Kalpitiya","2020.08.07","1","3","","","","","","","","","",""
"Wennappuwa","2020.08.09","1","4","","","","","1","","","","",""
"","2020.08.09","1","3","","","","","1","","","","",""
"Mahakubukkadawala","","","","","","","","","","","","",""
"","Elephant Attack
2020.08.10","1","1","1","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","120","480","1","0","0","0","110","12","2","0","0","0"
