"","Weather Forecast for Main Cities","","","","19-Feb-2024"
"","","","Relative","Humidity",""
"","","Temperature (0C)","","",""
"City","","","(%)","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","24","95","55","Mainly fair"
"Batticaloa","30","25","95","75","A few showers"
"Colombo","32","24","85","55","Showers or thundershowers are likely after 2.00p.m"
"Galle","32","24","90","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","31","24","85","60","Mainly fair"
"Kandy","32","20","95","60","Mainly fair"
"Nuwara-Eliya","21","11","95","70","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","34","21","95","50","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","31","27","95","65","A few showers"
"Mannar","32","24","90","65","Mainly fair"
