"","Weather Forecast for Main Cities","","","","10-Dec-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","22","95","60","Several spells of showers"
"Batticaloa","30","24","90","75","Several spells of showers"
"Colombo","32","24","90","60","Showers or thundershowers are likely after 2.00p.m"
"Galle","31","25","90","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","32","24","90","70","Several spells of showers"
"Kandy","30","18","95","65","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","20","9","85","60","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","33","22","95","65","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","31","25","90","75","Several spells of showers"
"Mannar","31","26","90","65","Several spells of showers"
