"","","","","","","People","","Fully","Partiall","Small, Medium,","Damages to","","",""
"","","","","","","","People","","","","","of Safety","Families",""
"","","","","","","","","","y","Enterprises","critical","","",""
"","","","","","","","","","","","","Locations","",""
"","","","","","","","","","","Damages","Infrastructure","","",""
"","","2020.07.18","1","1","","","","","1","","","","",""
"Hatharaliyadda","High Wind / Rain","2020.07.20","1","4","","","","","1","","","","",""
"මහනුවර","","","","","","","","","","","","","",""
"","","2020.07.21","1","1","","","","","1","","","","",""
"fz;b","","","","","","","","","","","","","",""
"Udapalatha","Heavy Rain","2020.07.19","1","4","","","","","1","","","","",""
"Kandy
1","","","","","","","","","","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","",""
"Doluwa","High wind / Rain","2020.07.17","1","1","","","","","","1","","","",""
"kj;jpa khfhzk","","","","","","","","","","","","","",""
"","","2020.07.19","1","4","","","","","1","","","","",""
"Central
Ududumbara","High Wind","","","","","","","","","","","","",""
"","","2020.07.22","1","4","","","","","1","","","","",""
"Pathadumbara","Heavy Rain","2020.07.20","1","3","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","8","22","0","0","0","0","7","1","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","8","22","0","0","0","0","7","1","0","0","0","0"
"","Drowning","2020.07.13","1","3","2","1","","","","","","","",""
"Beruwala","","","","","","","","","","","","","",""
"","","","2","7","","","","","2","","","","",""
"Matugama","","","5","17","","","","","5","","","","",""
"","High Wind","","","","","","","","","","","","",""
"Ingiriya","","","1","3","","","","","1","","","","",""
"කළුතර","","","","","","","","","","","","","",""
"Bandaragama","","","1","5","","","","","1","","","","",""
"2
fSj;Jiw","","","","","","","","","","","","","",""
"Millaniya","Tree Fallen","2020.07.20","4","17","","","","","4","","","","",""
"Kalutara","","","","","","","","","","","","","",""
"Dodangoda","","","5","16","","","","","4","","","","",""
"Panadura","","","4","18","","","","","4","","","","",""
"","High Wind","","","","","","","","","","","","",""
"Palindanuwara","","","1","4","","","","","1","","","","",""
"Agalawatta","","","2","8","","","","","2","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","26","98","2","1","0","0","24","0","0","0","0","0"
"Ja'Pura - Kotte","High Wind / Rain","","2","10","","","","","2","","","","",""
"කකාළඹ","","2020.07.20","","","","","","","","","","","",""
"Thimbirigasyaya","Flash Flood","","393","1780","","","","","","","","","",""
"3
nfhOk;G","","","","","","","","","","","","","",""
"Western","High Wind","","40","179","","","","","1","","","","",""
"Colombo
Rathmalana","","","","","","","","","","","","","",""
"Nky; khfhzk","","","","","","","","","","","","","",""
"","High Wind/Flash Flood","2020.07.25","5","","","","","2","3","","","","",""
"බස්ත්‍රනාහිර පලාත","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","440","1969","0","0","0","2","6","0","0","0","0","0"
"Gampaha","","2020.07.20","7","27","","","","","6","1","","","",""
"Meerigama","","2020.07.20","14","59","","","","","14","","","","",""
"","High Wind","","","","","","","","","","","","",""
"","","2020.07.19","1","3","","","","","1","","","","",""
"Dompe","","","","","","","","","","","","","",""
"","","2020.07.20","5","27","","","","","5","","","","",""
"ගම්පහ","","","","","","","","","","","","","","Death due to lightning while"
"Negambo","Lightning","2020.07.20","1","4","1","","","","","","","","",""
"4
fk;g`h","","","","","","","","","","","","","","fishing"
"Gampaha
Ja Ela","High Wind","2020.07.20","1","5","","","","","1","1","","","",""
"Minuwangoda","High Wind","2020.07.20","9","34","","","","","9","","","","",""
"","","2020.07.25","1","5","","","","","1","","","","",""
"Aththanagalla","Tree Fallen","","","","","","","","","","","","",""
"","","2020.07.20","4","14","","","","","4","","","","",""
"kelaniya","Fire","2020.07.27","4","11","","","","1","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","47","189","1","0","0","1","41","2","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","513","2256","3","1","0","3","71","2","0","0","0","0"
"Wennappuwa","","","41","163","","","","","1","","","","",""
"Madampe","","","1","4","","","","","1","","","","",""
"","High Wind / Rain","2020.07.20","","","","","","","","","","","",""
"Chilaw","","","3","12","","","","","3","","","","",""
"Mundalama
පුත්තලම","","","1","3","","","","","1","","","","",""
"වයඹ පලාත  
5
Gj;jsk;","","","","","","","","","","","","","",""
"Nattandita","","2020.07.21","6","20","","","","","5","","","","",""
"tlNky; 
Puttalam","","","","","","","","","","","","","",""
"Kalpitiya","","","2","12","","","","","2","","","","",""
"khfhzk;    North","","2020.07.20","","","","","","","","","","","",""
"Mahawewa
Western","High Wind","","1","4","","","","","1","","","","",""
"Wanathawilluwa","","2020.07.21","1","4","","","","","1","","","","",""
