"","Weather Forecast for Main Cities","","","Date :","28-May-2025"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","95","70","Several spells of showers"
"Batticaloa","36","27","80","50","Mainly fair"
"Colombo","30","25","95","75","Showers or thundershowers at times"
"Galle","30","25","95","85","Showers or thundershowers at times"
"Jaffna","33","29","85","65","A few showers"
"Kandy","28","22","95","70","Showers or thundershowers at times"
"Nuwara-Eliya","18","16","95","85","Showers or thundershowers at times"
"Ratnapura","32","23","95","75","Showers or thundershowers at times"
"Trincomalee","34","27","85","55","A few showers"
"Mannar","31","29","85","70","Several spells of showers"
