"","Weather Forecast for Main Cities","","","Date :","13-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","28","22","90","80","Mainly fair"
"Batticaloa","29","23","95","85","A few showers"
"Colombo","31","24","90","60","Showers or thundershowers are likely after 2.00p.m"
"Galle","29","24","90","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","29","24","95","85","A few showers"
"Kandy","29","20","90","80","Mainly fair"
"Nuwara-Eliya","18","13","95","85","Mainly fair"
"Ratnapura","32","23","95","85","Showers or thundershowers after 2.00p.m"
"Trincomalee","27","24","90","85","A few showers"
"Mannar","29","25","90","80","Mainly fair"
