"","","","Islandwide Water Level & Rainfall Situation in Major Rivers","","","","","","","",""
"DATE :","26-Sep-2025","","","","","","","TIME :","6:30 PM","",""
"","","","Gauging Station","","","","","","","",""
"","","","","","","","","","","Water",""
"","","","","","","","Water","Water","","","9 Hr RF in"
"","","","","","Minor","Major","","","","Level",""
"River Basin","Tributory/River","","","Alert","","","Level at","Level at","Remarks","","mm at 6:00"
"","","Station","Unit","","Flood","Flood","","","","Rising or",""
"","","","","Level","","","5:00 PM","6:00 PM","","","PM"
"","","","","","Level","Level","","","","Falling",""
"","Kelani Ganga","Nagalagam Street","ft","4.00","5.00","7.00","2.70","2.70","Normal","","-"
"","Kelani Ganga","Hanwella","m","7.00","8.00","10.00","3.89","3.96","Normal","","1.7"
"","Kelani Ganga","Glencourse","m","15.00","16.50","19.00","12.25","12.25","Normal","","8.3"
"Kelani Ganga","","","","","","","","","","",""
"","Kelani Ganga","Kithulgala","m","3.00","4.00","6.00","2.18","2.09","Normal","","27.5"
"(RB 01)","","","","","","","","","","",""
"","Gurugoda Oya","Holombuwa","m","3.00","3.40","5.00","0.85","0.89","Normal","","20.2"
"","Seethawaka Ganga","Deraniyagala","m","4.80","5.80","6.40","1.87","1.82","Normal","","28.1"
"","Kehelgamu Oya","Norwood","m","1.50","3.00","4.50","0.93","0.90","Normal","","8.4"
"","Kalu Ganga","Putupaula","m","3.00","4.00","5.00","2.14","2.17","Normal","","0.6"
"","Kalu Ganga","Ellagawa","m","10.00","10.70","12.20","8.15","8.18","Normal","","8.8"
"Kalu Ganga","","","","","","","","","","",""
"","Kalu Ganga","Rathnapura","m","5.20","7.50","9.50","5.35","5.26","Alert","Falling","1.3"
"(RB 03)","","","","","","","","","","",""
"","Maguru Ganga","Magura","m","4.00","6.00","7.50","3.92","3.90","Normal","","0.0"
"","Kuda Ganga","Kalawellawa (Millakanda)","m","5.00","6.50","8.00","5.59","5.60","Alert","Rising","7.0"
"","Gin Ganga","Baddegama","m","3.50","4.00","5.00","3.40","3.41","Normal","","0.0"
"Gin Ganga","","","","","","","","","","",""
"(RB 09)","","","","","","","","","","",""
"","Gin Ganga","Thawalama","m","4.00","6.00","7.50","2.78","2.78","Normal","","0.0"
"","Nilwala Ganga","Thalgahagoda","m","1.40","1.70","2.80","1.19","1.21","Normal","","8.5"
"","Nilwala Ganga","Panadugama","m","5.00","6.00","7.50","4.95","4.94","Normal","","9.5"
"Nilwala Ganga","","","","","","","","","","",""
"(RB 12)","","","","","","","","","","",""
"","Nilwala Ganga","Pitabeddara","m","4.00","5.00","6.50","1.49","1.49","Normal","","3.8"
"","Urubokka Ganga","Urawa","m","2.50","4.00","6.00","0.85","0.84","Normal","","2.9"
"","Maha Oya","Badalgama","m","5.00","6.20","9.60","1.97","1.98","Normal","","5.1"
"Maha Oya","","","","","","","","","","",""
"(RB 102)","","","","","","","","","","",""
"","Maha Oya","Giriulla","m","5.50","6.50","7.50","1.07","1.09","Normal","","32.8"
"Attanagalu Oya","","","","","","","","","","",""
"","Attanagalu Oya","Dunamale","m","3.30","4.40","5.50","0.98","1.00","Normal","","13.7"
"(RB 103)","","","","","","","","","","",""
