"","Weather Forecast for Main Cities","","","Date :","31-Dec-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","24","95","70","Showers or thundershowers at times"
"Batticaloa","28","25","95","80","Showers or thundershowers at times"
"Colombo","30","25","95","70","Showers or thundershowers after 2.00p.m"
"Galle","30","25","95","75","Showers or thundershowers after 2.00p.m"
"Jaffna","29","24","95","75","Showers or thundershowers at times"
"Kandy","28","21","95","75","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","19","13","95","70","Showers or thundershowers after 2.00p.m"
"Ratnapura","31","23","95","75","Showers or thundershowers after 2.00p.m"
"Trincomalee","28","24","95","80","Showers or thundershowers at times"
"Mannar","28","25","95","80","Showers or thundershowers at times"
