"","Weather Forecast for Main Cities","","","","3-May-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","38","27","90","50","Mainly fair"
"Batticaloa","33","27","95","65","Mainly fair"
"Colombo","33","27","90","70","Showers or thundershowers are likely after 2.00p.m"
"Galle","31","27","90","80","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","36","29","90","65","Mainly fair"
"Kandy","34","23","95","60","Mainly fair"
"Nuwara-Eliya","25","12","95","55","Mainly fair"
"Ratnapura","35","25","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","35","27","90","55","A few showers"
"Mannar","33","27","95","70","Showers or thundershowers are likely after 2.00p.m"
