"","","","","","","","g","KOik","sT","","fl;likg;Gf;fs;","","","",""
"","","","Families","","","People","","","ன","்  சேதங் கள்","","f   No.","s;","Persons",""
"District
Division","","","","People","","","","","","","","","","",""
"","","","","","","","People","Fully","Partiall","Small, Medium,","Damages to","","","",""
"","","","","","","","","","","","","of Safety","Families","",""
"","","","","","","","","","y","Enterprises","critical","","","",""
"","","","","","","","","","","","","Locations","","",""
"","","","","","","","","","","Damages","Infrastructure","","","",""
"බදුල්ල","","","","","","","","","","","","","","",""
"1
Welimada
gJs;is","Fire","2020.08.17","12","54","","","","12","","","","1","12","","54 Alakolagala Day Care Centre"
"ඌෙ","","","","","","","","","","","","","","",""
"Badulla","","","","","","","","","","","","","","",""
"Cth khfhzk;","","","","","","","","","","","","","","",""
"දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total
Uva","","","12","54","0","0","0","12","0","0","0","1","12","54",""
"පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","12","54","0","0","0","12","0","0","0","1","12","54",""
"ත්‍රීකුණාමලය","","","","","","","","","","","","","","",""
"2
Seruwila
jp.kiy","High Wind","2020.10.21","1","3","","","","","1","","","","","",""
"නැවෙනහිර පලාත","","","","","","","","","","","","","","",""
"Trincomalee","","","","","","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","","",""
"දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total
Eastern","","","1","3","0","0","0","0","1","0","0","0","0","0",""
"පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","1","3","0","0","0","0","1","0","0","0","0","0",""
"","","","","","","","","","","","","","","","1. Upper Balangoda"
"රත්නපුර","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Paththini Kovil"
"3
Balangoda
,uj;jpdGhp","Rock Fallen Risk","2020.10.12","13","56","","","","","","","","2","13","56",""
"සබරෙමුෙ පලාත","","","","","","","","","","","","","","","2. Upper Balangoda"
"Rathnapura","","","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","Gnanarama Temple"
"Sabaragamuwa","","","","","","","","","","","","","","",""
"දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","13","56","0","0","0","0","0","0","0","2","13","56",""
"පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","13","56","0","0","0","0","0","0","0","2","13","56",""
"මුලතිව්","","","","","","","","","","","","","","","2 Fishieres were missing in"
"4
Maritimepattu
Ky;iyj;jPT","Missing at the Sea","2020.10.19","","","","","2","","","","","","","","Mullaitivu sea area. They"
"උතුරු පලාත","","","","","","","","","","","","","","",""
"Mulaitivu","","","","","","","","","","","","","","","living in trinco town."
"tl khfhzk","","","","","","","","","","","","","","",""
"දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total
Northen","","","0","0","0","0","2","0","0","0","0","0","0","0",""
"පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","0","0","0","0","2","0","0","0","0","0","0","0",""
"පුත්තලම Gj;jsk","","","","","","","","","","","","","","",""
"5
Naththandiya
ෙයඹ පලාත","Fire","2020.10.20","1","7","","","","","1","","","","","",""
"Puttalam","","","","","","","","","","","","","","",""
"tlNky;","","","","","","","","","","","","","","",""
"khfhzk;    
දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","1","7","0","0","0","0","1","0","0","0","0","0",""
"North Western","","","","","","","","","","","","","","",""
"පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","1","7","0","0","0","0","1","0","0","0","0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","27","120","0","0","2","12","2","0","0","3","25","110",""
