"","Weather Forecast for Main Cities","","","","2024-07-11"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","26","90","60","Mainly fair"
"Batticaloa","36","27","90","45","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","25","90","70","Several spells of showers"
"Galle","30","26","90","75","Several spells of showers"
"Jaffna","33","27","85","60","A few showers"
"Kandy","29","22","95","65","Several spells of light showers"
"Nuwara-Eliya","19","13","95","70","Several spells of light showers"
"Ratnapura","32","23","95","70","Several spells of showers"
"Trincomalee","36","26","85","50","Showers or thundershowers are likely after 2.00p.m"
"Mannar","32","28","80","65","A few showers"
