"","Weather Forecast for Main Cities","","","Date :","2024-09-06"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","95","60","Mainly fair"
"Batticaloa","34","26","90","60","Showers or thundershowers are likely after 4.00p.m"
"Colombo","30","27","90","70","Several spells of light showers"
"Galle","29","26","90","80","Several spells of light showers"
"Jaffna","33","28","90","70","A few showers"
"Kandy","28","22","95","75","Several spells of light showers"
"Nuwara-Eliya","18","15","95","85","Several spells of light showers"
"Ratnapura","31","24","95","85","Several spells of showers"
"Trincomalee","36","26","85","60","Mainly fair"
"Mannar","31","27","90","75","Mainly fair"
