"","Weather Forecast for Main Cities","","","Date :","25-Jan-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","23","95","70","Several spells of light showers"
"Batticaloa","28","25","95","80","Showers at times"
"Colombo","29","24","95","80","Several spells of showers"
"Galle","29","25","95","80","Showers or thundershowers at times"
"Jaffna","30","24","90","80","A few showers"
"Kandy","28","21","95","80","Several spells of showers"
"Nuwara-Eliya","18","14","95","80","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","31","24","95","90","Showers or thundershowers after 2.00p.m"
"Trincomalee","29","24","85","75","Several spells of showers"
"Mannar","29","25","90","75","A few showers"
