"","","","","","","","","","","","KOik","sT 
ன","்  சேதங் கள்","fl;likg;Gf;fs;","f   No.","","",""
"","","District","Division","","","Families","People","","People","g","","","","","","s;","Persons",""
"","","","","","","","","","","","Fully","Partiall","Small, Medium,","Damages to","of Safety","","",""
"","","","","","","","","","","People","","","","","","Families","",""
"","","","","","","","","","","","","y","Enterprises","critical","Location","","",""
"","","","","","","","","","","","","","Damages","Infrastructure","s","","",""
"","","","Bandarawela","Heavy Rain","2019.12.20","1","5","","","","","","","","1","1","","5 Yowun Senankaya"
"","","","","Heavy Rain","2020.01.03","2","8","","","","","2","","","","","",""
"","","බදුල්ල","","","","","","","","","","","","","","","",""
"ඌව","","","Passara","","","","","","","","","","","","","","","Kanawarella sarwodaya"
"","1","gJs;is","","","","","","","","","","","","","","","",""
"","","","","Landslide Risk","2019.12.05","5","18","","","","","","","","1","5","18",""
"Cth khfhzk;","","","","","","","","","","","","","","","","","","building"
"","","Badulla","","","","","","","","","","","","","","","",""
"Uva","","","","","","","","","","","","","","","","","",""
"","","","Haldunmulla","High Wind","2020.02.14","1","6","","","","","1","","","1","1","6",""
"","","","Ella","Landslide Risk","2019.12.20","5","12","","","","","","","","1","5","","12 Karandagolla Temple"
"","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","","14","49","0","0","0","0","3","0","0","4","12","41",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","14","49","0","0","0","0","3","0","0","4","12","41",""
"","","","Ruwanwella","","2020.01.17","220","900","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","Distribution of drinking water"
"","","","Bulathkohupitiya","Drought","2020.02.10","61","277","","","","","","","","","","",""
"","","කෑගල්ල","","","","","","","","","","","","","","","",""
"","2","Nffhiy","Deraniyagala","","2020.02.06","225","960","","","","","","","","","","",""
"","","Kegalle","","","","","","","","","","","","","","","",""
"","","","","","2020.02.13","75","312","","","","","","","","","","",""
"සබරගමුව පලාත","","","Galigamuwa","","","","","","","","","","","","","","",""
"","","","","Fire","2020.02.13","2","9","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","","",""
"Sabaragamuwa","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","","583","2458","0","0","0","0","0","0","0","0","0","0",""
"","","රත්නපුර","","","","","","","","","","","","","","","",""
"","3",",uj;jpdGhp","Eheliyagoda","Drought","2020.02.07","1921","7959","","","","","","","","","","",""
"","","Rathnapura","","","","","","","","","","","","","","","",""
"","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","","1921","7959","0","0","0","0","0","0","0","0","0","0",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","2504","10417","0","0","0","0","0","0","0","0","0","0",""
"","","නුවර","","","","","","","","","","","","","","","",""
"මධයම පලාත","4","fz;b","Akurana","Drought","2020.02.11","350","1213","","","","","","","","","","",""
"kj;jpa khfhzk;","","Kandy","","","","","","","","","","","","","","","",""
"Central","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","","350","1213","0","0","0","0","0","0","0","0","0","0",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","350","1213","0","0","0","0","0","0","0","0","0","0",""
"","","","Kalutara","","","19776","78359","","","","","","","","","","",""
"","","කළුතර","","","","","","","","","","","","","","","",""
"","","","Beruwala","Dissolving salts","","24147","116465","","","","","","","","","","",""
"","5","fSj;Jiw","","","2020.01.20","","","","","","","","","","","","","Distribution of drinking water"
"Western","","","","in drinking water","","","","","","","","","","","","","",""
"","","","Panadura","","","2694","9905","","","","","","","","","","",""
"Nky; khfhzk","","Kalutara","","","","","","","","","","","","","","","",""
"","","","Dodangoda","","","4545","13664","","","","","","","","","","",""
"බස්නාහිර පලාත","","","","","","","","","","","","","","","","","",""
