"","Weather Forecast for Main Cities","","","","7-Jul-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","90","60","Mainly fair"
"Batticaloa","34","25","90","55","Showers or thundershowers are likely after 2.00p.m"
"Colombo","32","24","95","80","Showers at times"
"Galle","30","24","95","80","Showers at times"
"Jaffna","32","26","90","70","Mainly fair"
"Kandy","31","22","95","75","Several spells of showers"
"Nuwara-Eliya","21","15","95","75","Several spells of showers"
"Ratnapura","33","23","95","80","Showers at times"
"Trincomalee","36","26","90","55","Mainly fair"
"Mannar","32","28","90","75","Mainly fair"
