"","Weather Forecast for Main Cities","","","Date :","2024-09-24"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","26","90","50","Mainly fair"
"Batticaloa","36","25","80","45","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","27","80","70","Showers at times"
"Galle","30","27","90","70","Showers at times"
"Jaffna","35","28","80","45","Mainly fair"
"Kandy","28","24","85","60","Several spells of showers"
"Nuwara-Eliya","19","14","90","70","Showers at times"
"Ratnapura","31","25","90","70","Showers at times"
"Trincomalee","37","27","80","45","Showers or thundershowers are likely after 2.00p.m"
"Mannar","33","28","80","65","Mainly fair"
