"දිනය/ගේලාව)","ස
්ථානය","උපරිම සුළගේ ගේෙය (පැයට කි. මි.)","කැළඹිලි ස්වභාවය"
"(ශ්‍රී ලාංකා පැය)","(උතුරු අක්්ාාංශ oN","",""
"","නැගෙනහිර ගේශාාංශ  oE)","",""
"11.06.23/1730","18.5/67.8","160-170 විටින් විට 190 දක්වා","අතිශය චණ්ඩ සුළි කුණාටුවක්"
"11.06.23/2330","18.8/67.8","155-165 විටින් විට 185 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"12.06.23/0530","19.1/67.7","155-165 විටින් විට 185 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"12.06.23/1130","19.4/67.6","150-160 විටින් විට 180 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"12.06.23/2330","20.1/67.4","145-155 විටින් විට 175 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"13.06.23/1130","20.8/67.3","140-150 විටින් විට 165 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
