"Tal[e 2: Weather Advisory for land areas for next 72 hours by the Depal.tment of Meteorology","","",""
"Provl.nee","16 May","17  May","18 may"
"","`.i""","",""
"","Strtlng gusty winds","",""
"","","Strong gusty winds","Strong gusty winds"
"Northern","","",""
"","50 kmph at times","",""
"","","50kmph at times","(40-50} kmph at times"
"","Strong gusty winds","",""
"","","Strong gusty winds","Strong gusty winds"
"North-Central","","",""
"","50 kmph at times","",""
"","","50kmph at times","(40-50) kmph at times"
"","Strong gusty winds","Gusty winds","Gusty winds"
"North-Western","","",""
"","50 kmph at times","(40-50) kmph at times","40 kmph at times"
"","Strong gusty winds","Gusty winds","Giisty winds"
"Central","","",""
"","50 kmph at times","(40-50) kmph at times","40 kmph at times"
"","Fresh to Strong gustywinds","",""
"","","Gusty winds","Gusty winds                         i=S¥"
"uva","","",""
"","","(3040} kmph at times","(3040} kmph at times   E``"
"","(30-40) kmph at times","",""
"","","","i{;-I.¥Gustywindsas"
"","Fresh to Strong gustywinds","",""
"","","Gusty winds",""
"Eastern","","",""
"","","(3040) kmph at times","(3040} kmph at times   `+'`§"
"","(30-40) kmph at times","",""
"","Fresh to Strong gustywinds","",""
"","","Gusty winds","Gusty  winds                        i-iff-E,-:+-.-`"
"Other Provinces","","",""
"","","(3040} kmph at times","(3o4o} kmph at tirvRE`"
"","(30-40) kmph at times","-i:j±3Sf±S3S3±Sfj=='r-+i±.-±'.-r+:*_;eefs=<::<S:2i:i:TS€.-±<=se3Z;3F€<Ss:±:::S:3","Tf££ffg=fts2±ss±`5;f~3_3ff=sss:::::se±G:±:_sff3f:-_"
