"","Weather Forecast for Main Cities","","","","12-Sep-2023"
"","Temperature (0C)","","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","90","55","A few showers"
"Batticaloa","34","26","85","60","Mainly fair"
"Colombo","31","26","95","75","Several spells of showers"
"Galle","30","25","95","85","Several spells of showers"
"Jaffna","32","27","80","65","Mainly fair"
"Kandy","28","22","95","70","Several spells of light showers"
"Nuwara-Eliya","18","14","95","80","A few showers"
"Ratnapura","32","23","95","75","Several spells of showers"
"Trincomalee","35","26","80","45","Mainly fair"
"Mannar","32","27","85","70","A few showers"
"","ප්‍රධාන  නගර සදහා කාෙගුණ අනාවැකිය","","","","2023-09-12"
"","උෂ්ණත්වය(ලස. අංශ්‍ක)","","සාලප්ක්ෂ ආර්රතාවය(%)","",""
"නගරය","","","","","කාෙගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","33","25","90","55","වැසි ස්වල්පයක්"
"මඩකලපුව","34","26","85","60","ප්‍රධාන වශවයන් වැසි රහිත"
"වකාළඹ","31","26","95","75","වැසි වාර කිහිපයක්"
"ගාල්ල","30","25","95","85","වැසි වාර කිහිපයක්"
"යාපනය","32","27","80","65","ප්‍රධාන වශවයන් වැසි රහිත"
"මහනුවර","28","22","95","70","සිහින් වැසි වාර කිහිපයක්"
"නුවරඑළිය","18","14","95","80","වැසි ස්වල්පයක්"
"රත්නපුරය","32","23","95","75","වැසි වාර කිහිපයක්"
"ිකුණාමලය","35","26","80","45","ප්‍රධාන වශවයන් වැසි රහිත"
"මන්නාරම","32","27","85","70","වැසි ස්වල්පයක්"
"","பிரதான நகரங் களுக்கான வானிலை முன் னறிவித்தை்","","","",""
"","வவப்பநிலை (0C)","","சாரீரப்பதன்  (%)","",""
"நகரம்","","","","","வானிலை"
"","உச்ச","குலைந்த","உச்ச","குலைந்த",""
"அனுராதபுரம்","33","25","90","55","சிறிதளவில்  மழை பெய் யும்"
"மட்டக்களப்பு","34","26","85","60","பிரதானமாக சீரான வானிழல"
"வகாழும் பு","31","26","95","75","அடிக்கடி மழை பெய் யும்"
"காலி","30","25","95","85","அடிக்கடி மழை பெய் யும்"
"யாழ் ப்பாணம்","32","27","80","65","பிரதானமாக சீரான வானிழல"
"கண் டி","28","22","95","70","அடிக்கடி சிறிதளவில்  மழை பெய் யும்"
"நுவவரலியா","18","14","95","80","சிறிதளவில்  மழை பெய் யும்"
"இரத்தினபுரி","32","23","95","75","அடிக்கடி மழை பெய் யும்"
"திருககாணமலை","35","26","80","45","பிரதானமாக சீரான வானிழல"
"மன் னார்","32","27","85","70","சிறிதளவில்  மழை பெய் யும்"
