"The forecast track and intensity of the system are given in the following table","","",""
"Date/Time","Position","Maximum wind speed","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long. oE)","(Kmph)","disturbance"
"28.11.24/2330","10.0/82.8","55-65 gusting to 75","Deep Depression"
"29.11.24/0530","10.5/82.5","50-60 gusting to 70","Deep Depression"
"29.11.24/1130","11.0/81.9","50-60 gusting to 70","Deep Depression"
"29.11.24/1730","11.4/81.2","45-55 gusting to 65","Depression"
"30.11.24/0530","11.7/80.3","45-55 gusting to 65","Depression"
"30.11.24/1730","12.0/79.4","40-50 gusting to 60","Depression"
