"පේධ්‍තිබේ පුබරෝකථන මාර්ගය සහ පේධ්‍තිබේ තීවෘතාවය","","",""
"දිනය/බේලාව)","ස
්ථානය","උපරිම සුළබේ බේගය (පැයට කි. මි.)","කැළඹිලි ස්වභාවය"
"(ශ්‍රි ලෙංකා පැය)","(උතුරු අක්්ාෙංශ oN","",""
"","නැබගනහිර බේශාෙංශ  oE)","",""
"","10.0/82.8","55-65 විටිේ විට 75 දක්වො","ගැඹුරු පීඩන අවපොතයක්"
"28.11.24/2330","","",""
"","10.5/82.5","50-60 විටිේ විට 70 දක්වො","ගැඹුරු පීඩන අවපොතයක්"
"29.11.24/0530","","",""
"","11.0/81.9","50-60 විටිේ විට 70 දක්වො","ගැඹුරු පීඩන අවපොතයක්"
"29.11.24/1130","","",""
"","11.4/81.2","","පීඩන අවපොතයක්"
"29.11.24/1730","","45-55 විටිේ විට 65 දක්වො",""
"","11.7/80.3","","පීඩන අවපොතයක්"
"30.11.24/0530","","45-55 විටිේ විට 65 දක්වො",""
"","12.0/79.4","","පීඩන අවපොතයක්"
"30.11.24/1730","","40-50 විටිේ විට 60 දක්වො",""
