"","Weather Forecast for Main Cities","","","","24-Jul-2023"
"","Temperature (0C)","","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","26","85","50","Mainly fair"
"Batticaloa","36","26","80","35","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","28","85","70","Several spells of showers"
"Galle","29","27","95","85","Several spells of showers"
"Jaffna","31","27","85","65","Mainly fair"
"Kandy","30","24","80","60","Several spells of showers"
"Nuwara-Eliya","19","15","90","65","Several spells of showers"
"Ratnapura","33","26","85","60","Several spells of showers"
"Trincomalee","36","28","80","40","Mainly fair"
"Mannar","34","28","90","75","Mainly fair"
"","ප්‍රධාන  නගර සදහා කාෙගුණ අනාවැකිය","","","","2023-07-24"
"","උෂ්ණත්වය(ලස. අංශ්‍ක)","","සාලේක්ෂ ආර්ද්‍රතාවය(%)","",""
"නගරය","","","","","කාෙගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","32","26","85","50","ප්‍රධාන වශවයේ වැසි රහිත"
"මඩකලපුව","36","26","80","35","සවස 2.00ේ පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක"
"වකාළඹ","31","28","85","70","වැසි වාර කිහිපයක්"
"ගාල්ල","29","27","95","85","වැසි වාර කිහිපයක්"
"යාපනය","31","27","85","65","ප්‍රධාන වශවයේ වැසි රහිත"
"මහනුවර","30","24","80","60","වැසි වාර කිහිපයක්"
"නුවරඑළිය","19","15","90","65","වැසි වාර කිහිපයක්"
"රත්නපුරය","33","26","85","60","වැසි වාර කිහිපයක්"
"ිකුණාමලය","36","28","80","40","ප්‍රධාන වශවයේ වැසි රහිත"
"මේනාරම","34","28","90","75","ප්‍රධාන වශවයේ වැසි රහිත"
"","பிரதான நகரங் களுக்கான வானிலை முன் னறிவித்தை்","","","",""
"","வவப்பநிலை (0C)","","சாரீரப்பதன்  (%)","",""
"நகரம்","","","","","வானிலை"
"","உச்ச","குலைந்த","உச்ச","குலைந்த",""
"அனுராதபுரம்","32","26","85","50","பிரதானமாக சீரான வானிலை"
"","","","","","பி.ப. 2.00 மணிக்குப் பின் னர் மலை அை் ைது இடியுடன்  கூடிய"
"மட்டக்களப்பு","36","26","80","35",""
"","","","","","மலை பபய் யும் சாத்தியம்"
"வகாழும் பு","31","28","85","70","அடிக்கடி மலை பபய் யும்"
"காலி","29","27","95","85","அடிக்கடி மலை பபய் யும்"
"யாழ் ப்பாணம்","31","27","85","65","பிரதானமாக சீரான வானிலை"
"கண் டி","30","24","80","60","அடிக்கடி மலை பபய் யும்"
"நுவவரலியா","19","15","90","65","அடிக்கடி மலை பபய் யும்"
"இரத்தினபுரி","33","26","85","60","அடிக்கடி மலை பபய் யும்"
"திருககாணமலை","36","28","80","40","பிரதானமாக சீரான வானிலை"
"மன் னார்","34","28","90","75","பிரதானமாக சீரான வானிலை"
