"","","","","","Page 2","","","","","","","","",""
"ත්‍රීකුණාමලය","Kuchchaveli","2021.01.15","5","18","","","","","","","","","",""
"7
jp.kiy","Heavy Rain","","","","","","","","","","","","",""
"Trincomalee","","2021.01.18","4","16","","","","","4","","","","",""
"","Kanthale","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","9","34","0","0","0","0","4","0","0","0","0","0"
"නැනෙනහිර පලාත","Uhana","2021.01.15","11","28","","","","","11","","","","",""
"fpof;F         
අම්පාර","","","","","","","","","","","","","",""
"","Navithanveli","2021.01.17","3","8","","","","","3","","","","",""
"Eastern
8
mk;ghiw","Heavy rain","","","","","","","","","","","","",""
"Ampara","Addalachchnai","2021.01.03","2339","7401","","","","","","","","","",""
"","Kalmunai North","2021.01.12","94","313","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","2447","7750","0","0","0","0","14","0","0","0","0","0"
