"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","25","90","55","Showers or thundershowers after 2.00p.m"
"Batticaloa","34","26","85","60","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","27","90","70","A few showers"
"Galle","30","26","90","80","A few showers"
"Jaffna","34","27","90","65","Showers or thundershowers are likely after 2.00p.m"
"Kandy","30","22","95","60","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","20","13","95","80","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","33","24","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","36","26","80","45","Showers or thundershowers after 2.00p.m"
"Mannar","32","28","85","75","Showers or thundershowers are likely after 2.00p.m"
