"","","උෂ්ණත්වය(හස. අංශක)","","සාහේක්ෂ ආර්ද්‍රතාවය(%)",""
"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","36","25","90","55","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
"මඩකලපුව","34","26","85","60",""
"","","","","","ැක"
"හකාළඹ","31","27","90","70","වැසි ස්වල්පයක්"
"ගාල්ල","30","26","90","80","වැසි ස්වල්පයක්"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
"යාපනය","34","27","90","65",""
"","","","","","ැක"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
"ම නුවර","30","22","95","60",""
"","","","","","ැක"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
"නුවරඑළිය","20","13","95","80",""
"","","","","","ැක"
"රත්නපුරය","33","24","95","70","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ත්‍රිකුණාමලය","36","26","80","45","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
"මන්නාරම","32","28","85","75",""
"","","","","","ැක"
