"","","","gpuNjr nra.gp","","","FLk;gq;fs;","egHfs;","","","","","gFjpasT"
"","","","","","commenced","","","","Injured","Missing","KOik Fully",""
"","","மாவட்டம் District","","","","Families","People","","","","","Partially"
"","","","DS Division","","","","","","People","People","",""
"","","","Galenbidunuwewa","High Wind","2025.08.22","2","8","","","","","2"
"","","","Kebithigollewa","High Wind","2025.08.22","2","7","","","","","2"
"","","","Palugaswewa","Lightning","2025.08.22","2","7","","","","","2"
"","","අනුරාධ්‍පුර    m.Guk;","","","","","","","","","",""
"උතුරුමැද පලාත","1","","Horoupathana","High Wind","2025.08.22","16","64","","","","","16"
"","","Anuradhapura","","","","","","","","","",""
"tlkj;jpa","","","","","","","","","","","",""
"","","","Rambewa","High Wind","2025.08.21","5","17","","","","","5"
"khfhzk;","","","","","","","","","","","",""
"North Central","","","","","","","","","","","",""
"","","","Medawachchiya","High Wind","2025.08.22","17","56","","","","","17"
"","","","Kahatagasdigiliya","High Wind","2025.08.21","114","383","","","","","95"
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","158","542","0","0","0","0","139"
