"මන්නාරම","","","","","","","","","","","","","","",""
"9","Mannar Town","Lightning & Thunder","202305.09","1","6","","","","","1","","","","",""
"","kd;dhH   Mannar","","","","","","","","","","","","","",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","6","0","0","0","0","1","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","78","239","0","0","0","0","13","0","2","0","0","0"
"","Chilaw","Flash flood","2023.05.07","150","580","","","","","1","","","","",""
"","Wennappuwa","Flash flood","2023.05.07","8","37","","","","","","","","","",""
"පුත්තලම","","","","","","","","","","","","","","",""
"10
Gj;jsk;","Mundalama","Flash flood","2023.05.07","6","24","","","","","1","","","1","6","24 Sisil Pawana Community"
"","","","","","","","","","","","","","","","hall"
"Puttalam","","","","","","","","","","","","","","",""
"","Mahawewa","Flash flood","2023.05.07","1","5","","","","","","","","","",""
"","Arachchikattuwa","Flood","2023.05.08","87","282","","","","","","","","","",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","252","928","0","0","0","0","2","0","0","1","6","24"
"","","High Wind","2023.05.02","1","6","","","","","1","","","","",""
"","Alauwwa","","","","","","","","","","","","","",""
"","","Tree Fallen","2023.05.07","1","1","","1","","","1","","","","",""
"","","Tree Fallen","2023.05.02","1","5","","","","","1","","","","",""
"","Polgahawela","","","","","","","","","","","","","",""
"","","High Wind","2023.05.03","1","3","","","","","1","","","","",""
"","Panduwasnuwara West","Lightning","2023.05.02","1","3","","","","","1","","","","",""
"","","","2023.05.01","1","4","","","","","1","","","","",""
"","","High Wind","2023.05.04","1","6","","","","","1","","","","",""
"වයඹ පලාත","","","","","","","","","","","","","","",""
"tlNky; khfhzk;","Kuliyapitiya East","","2023.05.07","1","5","","","","","1","","","","",""
"North Western","","","","","","","","","","","","","","",""
"","","Lightning","2023.05.01","1","4","","","","","1","","","","",""
"කුරුණෑෙල","","","","","","","","","","","","","","",""
"11
FUdhfy;","","Heavy Rain","2023.05.06","1","4","","","","","1","","","","",""
"Kurunegala","","","","","","","","","","","","","","",""
"","Narammala","High Wind & Rain","2023.05.03","2","4","","","","","2","","","","",""
"","","High Wind","2023.05.05","3","9","","","","","2","1","","","",""
"","Kurunegala","","","","","","","","","","","","","",""
"","","High Wind","2023.05.07","1","3","","","","","1","","","","",""
"","","","2023.05.04","1","1","","","","","1","","","","",""
"","Rideegama","High Wind & Rain","","","","","","","","","","","","",""
"","","","2023.05.07","1","4","","","","","1","","","","",""
"","Nikaweratiya","High Wind","2023.05.07","1","5","","","","","1","","","","",""
"","Kobeigane","Flood","2023.05.07","8","30","","","","","8","","","","",""
"","Udubaddawa","Flood","2023.05.07","2","5","","","","","2","","","","",""
"","Kotawehera","Flood","2023.05.07","1","3","","","","","1","","","","",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","30","105","0","1","0","0","29","1","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","282","1033","0","1","0","0","31","1","0","1","6","24"
"අනුරාධ්‍පුර","Thambuttegama","High Wind","2023.05.02","1","4","","","","","1","","","","",""
"උතුරුමැද පලාත 
12
m.Guk;","","","","","","","","","","","","","","",""
"tlkj;jpa 
Anuradhapura","Horowpothana","Heavy Rain","2023.05.01","1","1","","","","","1","","","","",""
"khfhzk;","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","2","5","0","0","0","0","2","0","0","0","0","0"
"North Central","","","","","","","","","","","","","","",""
