"","පේධ්‍තිගේ පුගරෝකථන මාර්ෙය සහ පේධ්‍තිගේ තීව්‍රතාවය","",""
"දිනය/ගේලාව)","ස
්ථානය","උපරිම සුළගේ ගේෙය (පැයට කි. මි.)","කැළඹිලි ස්වභාවය"
"(ශ්‍රී ලෙංකා පැය)","(උතුරු අක්්ාෙංශ oN","",""
"","නැගෙනහිර ගේශාෙංශ  oE)","",""
"","","180-190විටින් විට 210 දක්වා","අතිශය චණ්ඩ සුළි කුණාටුවක්"
"13.05.23/0530","15.4/89.1","",""
"","","190-200 විටින් විට 220 දක්වා","අතිශය චණ්ඩ සුළි කුණාටුවක්"
"13.05.23/1130","16.3/89.8","",""
"","","190-200 විටින් විට 220 දක්වා","අතිශය චණ්ඩ සුළි කුණාටුවක්"
"13.05.23/1730","17.2/90.5","",""
"","","180-190 විටින් විට 210 දක්වා","අතිශය චණ්ඩ සුළි කුණාටුවක්"
"13.05.23/2330","18.2/91.1","",""
"","","170-180  විටින් විට 200 දක්වා","අතිශය චණ්ඩ සුළි කුණාටුවක්"
"14.05.23/0530","19.2/91.8","",""
"14.05.23/1130","20.2/92.6","150-160 විටින් විට 175 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"14.05.23/1730","21.3/93.6","115-125   විටින් විට 140 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
