"","Weather Forecast for Main Cities","","","Date :","18-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","24","90","60","Mainly fair"
"Batticaloa","31","25","90","70","A few showers"
"Colombo","32","24","90","70","Showers or thundershowers after 2.00p.m"
"Galle","31","24","90","70","Showers or thundershowers after 2.00p.m"
"Jaffna","32","24","85","60","Mainly fair"
"Kandy","32","21","95","65","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","22","12","90","65","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","35","23","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","31","24","90","70","A few showers"
"Mannar","35","25","90","70","Mainly fair"
