"Minuwangoda
Flood","2023.11.02","","","","","","","","","","1","3",""
"ගම්පහ","","","","","","","","","","","","",""
"Aththanagalla
Flood
fk;g`h","2023.11.02","","","","","","","","","","2","41","177"
"5","","","","","","","","","","","","",""
"Western","","","","","","","","","","","","",""
"Gampaha","","","","","","","","","","","","",""
"Nky; khfhzk; 
Katana
Flood","2023.11.04","41","142","","","","","","","","","",""
"බස්නොහිර පලොත
Ja - Ela
Flood","2023.11.04","47","220","","","","","","","","","",""
"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","88","362","0","0","0","0","0","0","0","3","44","190"
"පළොත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","88","362","0","0","0","0","0","0","0","3","44","190"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","88","362","1","0","0","0","0","0","0","17","425","1111"
"","","","","ආපදො කළ නොකරණ  ධ්‍යස්ථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
