"","Weather Forecast for Main Cities","","","","25-May-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","25","95","75","Several spells of showers"
"Batticaloa","32","27","90","70","A few showers"
"Colombo","30","26","90","70","Showers or thundershowers at times"
"Galle","29","26","90","80","Showers or thundershowers at times"
"Jaffna","31","28","90","80","A few showers"
"Kandy","28","23","95","75","Showers or thundershowers at times"
"Nuwara-Eliya","17","15","95","90","Showers or thundershowers at times"
"Ratnapura","31","24","95","80","Showers or thundershowers at times"
"Trincomalee","31","27","85","70","A few showers"
"Mannar","31","29","85","75","Showers or thundershowers"
