"","Weather Forecast for Main Cities","","","Date :","2024-09-09"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","26","90","60","Mainly fair"
"Batticaloa","35","26","80","55","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","26","90","80","Showers at times"
"Galle","29","26","95","80","Showers at times"
"Jaffna","32","28","80","70","A few showers"
"Kandy","28","23","90","80","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","18","15","90","80","Several spells of showers"
"Ratnapura","32","24","95","85","Showers at times"
"Trincomalee","34","27","80","50","Mainly fair"
"Mannar","31","28","90","80","A few showers"
