"","Weather Forecast for Main Cities","","","","30-Jan-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","23","90","65","Several spells of showers"
"Batticaloa","29","24","85","75","Several spells of showers"
"Colombo","33","24","85","60","Showers or thundershowers after 2.00p.m"
"Galle","30","25","85","75","Showers or thundershowers after 2.00p.m"
"Jaffna","31","24","80","60","A few showers"
"Kandy","30","21","95","75","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","20","13","95","80","Several spells of showers"
"Ratnapura","33","22","95","75","Showers or thundershowers after 2.00p.m"
"Trincomalee","29","25","90","75","Showers at times"
"Mannar","30","25","85","70","A few showers"
