"","Weather Forecast for Main Cities","","","Date :","24-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","95","50","A few showers"
"Batticaloa","30","25","95","70","Showers or thundershowers are likely after 2.00p.m"
"Colombo","33","24","90","60","Mainly fair"
"Galle","32","25","90","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","33","22","95","65","Mainly fair"
"Kandy","31","20","95","50","Mainly fair"
"Nuwara-Eliya","21","8","95","35","A few showers"
"Ratnapura","38","22","95","45","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","31","24","95","65","Showers or thundershowers are likely after 4.00p.m"
"Mannar","32","25","95","70","Mainly fair"
