"","","","","","","Water","Water","","","24 Hr RF"
"(RB 36)","","","","","","","","","",""
"Maduru Oya","","","","","","","","","",""
"Maduru Oya","Padiyathalawa","m","4.00","4.50","6.00","0.23","0.23","Normal","","0.0"
"(RB 54)","","","","","","","","","",""
"Mahaweli Ganga","Manampitiya (HMIS)","m","3.00","4.30","6.00","0.00","0.00","Normal","","0.0"
"Mahaweli Ganga","Weraganthota","m","5.00","6.00","8.00","-2.97","-3.00","Normal","","0.0"
"Mahaweli Ganga","","","","","","","","","",""
"Mahaweli Ganga","Peradeniya","m","5.00","7.00","9.00","1.55","1.70","Normal","","0.0"
"(RB 60)","","","","","","","","","",""
"Mahaweli Ganga","Nawalapitiya","m","3.50","5.00","6.00","1.09","1.09","Normal","","0.0"
"Badulu Oya","Thaldena","m","3.00","4.00","5.00","0.22","0.22","Normal","","0.0"
"Yan Oya","","","","","","","","","",""
"Yan Oya","Horowpothana","m","6.00","7.50","10.50","1.52","1.52","Normal","","0.0"
"(RB 67)","","","","","","","","","",""
"Maa Oya (RB 69)  Mukunu Oya","Yaka Wewa","m","4.00","5.00","6.00","0.49","0.49","Normal","","0.0"
"Malwathu Oya","","","","","","","","","",""
"Malwathu Oya","Thanthirimale","m","5.00","6.80","7.80","1.09","1.09","Normal","","0.0"
"(RB 90)","","","","","","","","","",""
"Mee Oya","","","","","","","","","",""
"Mee Oya","Galgamuwa","m","4.84","5.94","8.00","0.21","0.20","Normal","","0.0"
"(RB 95)","","","","","","","","","",""
"Deduru Oya","","","","","","","","","",""
"Deduru Oya","Moragaswewa","m","4.75","6.00","7.00","0.50","0.50","Normal","","0.0"
"(RB 99)","","","","","","","","","",""
"Maha Oya","Badalgama","m","5.00","6.20","9.60","2.35","2.34","Normal","","3.2"
"Maha Oya","","","","","","","","","",""
"(RB 102)","","","","","","","","","",""
"Maha Oya","Giriulla","m","5.50","6.50","7.50","1.15","1.15","Normal","","0.0"
"Attanagalu Oya","","","","","","","","","",""
"Attanagalu Oya","Dunamale","m","3.30","4.40","5.50","1.52","1.52","Normal","","8.2"
"(RB 103)","","","","","","","","","",""
"K.K.C.U.Dilshan (H.A.)
Prepared by :","","","","","","","","","",""
"D.P.M.Alwis (H.A.)
Checked by :","","","","","","","","","",""
