"B
ay of Bengal",""
"W
eather:",""
"EQ-07N, 80E-85E",": Showers or thundershowers at most places."
"10N- 20N, 85E-100E",": Showers or thundershowers at several places."
"Other sea areas",": Showers or thundershowers at a few places."
"Winds:",""
"05N - 20N, 80E-90E",": South-westerly / (30-40) kmph; gusting up to (50-60) kmph."
"Other sea areas",": South-westerly or Variable/ (20-35) kmph."
"S
tate of the Sea:",""
"05N - 20N, 80E-90E",": Fairly rough, rough at times."
"Other sea areas",": Slight to moderate."
