"","","","","Page 2","","","","","","","","","",""
"නපොනලොන රුව","","","","","","","","","","","","","",""
"උතුරුමැද පලොත","","","","","","","","","","","","","",""
"8
Thamankaduwa
High wind
nghyd;dWit","2020.11.23","1","3","","","","","","1","","","","",""
"tlkj;jpa","","","","","","","","","","","","","",""
"Polonnaruwa","","","","","","","","","","","","","",""
"khfhzk;     North","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","1","3","","0","0","0","0","1","0","0","0","0","0"
"Central","","","","","","","","","","","","","",""
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","1","3","","0","0","0","0","1","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","150","552","","0","0","0","1","89","1","1","3","53","209"
"","","","","","රොජකොරි භොර නිළධ්‍ොරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
