"Badulla","2021.05.03","1","4","","","","","1"
"Haaliela","2021.05.02","2","10","","","","","2"
"බදුල්ල","High Wind/ Heavy","","","","","","",""
"4
Bandarawela","2021.05.04","2","6","","","","","2"
"Rain
gJs;is Badulla","","","","","","","",""
"ඌව/Cth","","","","","","","",""
"Passara","2021.05.04/06","3","15","","","","","3"
"khfhzk;/Uva","","","","","","","",""
"Badulla","2021.05.03","18","73","","","","","18"
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","26","108","0","0","0","0","26"
