"Meerigama
High Wind","2019.06.08
4","15","","2","","","4","","","","",""
"High wind/","","","","","","","","","","","",""
"Minuwangoda","2019.06.04/09/10
3","6","","","","","2","1","","","",""
"Lightning","","","","","","","","","","","",""
"Biyagama","2019.06.09
1","6","","","","","1","1","","","",""
"ගම්පහ      
High Wind
Jaela","2019.06.09/10
4","9","","","","","4","","","","",""
"21
fk;g`h","","","","","","","","","","","",""
"Mahara","2019.06.09
35","147","","","","","33","2","","","",""
"Gampaha","","","","","","","","","","","",""
"Dompe
High wind/","2019.06.07/09/10
14","56","","","","1","11","2","","","",""
"Lightning
Wattala","2019.06.09
68","306","","","","","68","","","","",""
"Negambo","2019.06.10
7","29","","","","","7","","","","",""
"High Wind
Gampaha","2019.06.10
11","61","","","","","11","","","","",""
"Western","","","","","","","","","","","",""
"Aththanagalla","2019.06.08/09
3","10","","","","","3","","","","",""
"Nky; khfhzk;","","","","","","","","","","","",""
"Katana
බස෇න෈හිර ප඼෈ත","2019.06.09
1","4","","","","","1","1","","","",""
"දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","151","649","0","2","0","1","145","7","0","0","0","0"
"Rathmalana","3","11","","","","","3","","","","",""
"Padukka","4","16","","","","","4","","","","",""
"Maharagama","12","50","","","","","12","","","","",""
"නකොළඹ/nfhOk;G/","","","","","","","","","","","",""
"22
High Wind
Kotte","2019.06.09
2","3","","","","1","1","","","1","1","3"
"Colombo","","","","","","","","","","","",""
"Kaduwela","13","62","","","","","13","","","","",""
"Homagama","8","32","","","","","8","","","","",""
"Moratuwa","74","","","","","","71","3","","","",""
"දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","116","174","0","0","0","1","112","3","0","1","1","3"
"පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","267","823","0","2","0","2","257","10","0","1","1","3"
"මුළු එකතුල   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","111005","379036","3","11","2","42","434","11","0","6","76","280"
"","","","ර෈ජක෈රි භ෈ර නිළධ෈රි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
