"","","","","","","","","Page 2","","","","","","","","",""
"","","","Verugal","","","53","180","","","","3","2","","","","",""
"","","","Town & Gravets","","","1104","3849","","","","","2","","","","",""
"","","","Muthur","","","312","1063","","","","","1","","","","",""
"","","ත්‍රීකුණොමලය","Seruwila","","","9","47","","","","","9","","","","",""
"","8","jp.kiy","","Heavy Rain","2020.12.27/28","","","","","","","","","","","",""
"","","Trincomalee","Kinniya","","","139","507","","","","","26","","","","",""
"","","","Thambalagamam","","","294","971","","","","","4","","","","",""
"","","","Morawewa","","","3","9","","","","","3","","","","",""
"","","","Kanthale","","","1","4","","","","1","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","1915","6630","0","0","0","4","47","0","0","0","0","0"
"","","","Koralaipattu North","","","654","1930","","","","","2","","","","",""
"","","","Koralaipattu West","","","137","480","","","","","","","","","",""
"","","","Koralaipattu","","","367","1157","","","","","","","","","",""
"","","","Koralaipattu Central","","","140","470","","","","","1","","","","",""
"","","","Koralaipattu South","","","1080","3230","","","","","2","","","","",""
"ැනෙ හිර පලොත","","","Eravur Pattu","","","1726","5538","","","","","2","","1","","",""
"fpof;F","","මඩකලපුව","","","","","","","","","","","","","","",""
"","","","Eravur Town","","","34","120","","","","","","","","","",""
"Eastern","9","kl;lf;fsg;G","","Flood","2020.12.21","","","","","","","","","","","",""
"","","Batticaloa","Manmunai West","","","25","85","","","","","","","","","",""
"","","","Manmunai North","","","5263","16172","","","","","1","","","","",""
"","","","Kattankudy","","","1630","5868","","","","","","","","","",""
"","","","Manmunai Pattu","","","29","87","","","","","","","","","",""
"","","","Manmuai South West","","","43","152","","","","","1","","","","",""
"","","","Manmuai South & EP","","","2","11","","","","","1","","","","",""
"","","","Porathivupattu","","","8","21","","","","","","","1","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","11138","35321","0","0","0","0","10","0","2","0","0","0"
"","","","Karaitheevu","","","9","28","","","","","","","","","",""
"","","","Alaiyadivembu","","","100","300","","","","","","","","","",""
"","","අම්පොර","","","","","","","","","","","","","","",""
"","10","mk;ghiw","Kalmunai North","Heavy Rain Flood","2020.12.22","12","46","","","","","","","","","12","46"
"","","Ampara","","","","","","","","","","","","","","",""
"","","","Uhana","","","1","3","","","","","","","","","",""
"","","","Irakkamam","","","2","11","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","124","388","0","0","0","0","0","0","0","0","12","46"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","13177","42339","0","0","0","4","57","0","2","0","12","46"
"","","","Ella","Heavy Rain","2020.12.20","1","4","","","","","1","","","","",""
"","","බදුේල","","","","","","","","","","","","","","",""
"","11","gJs;is","Hali Ela","Rain","2020.12.21","1","5","","","","","1","","","","",""
"ඌව","","","","","","","","","","","","","","","","",""
"","","Badulla","","","","","","","","","","","","","","",""
"Cth khfhzk;","","","Lunugala","Heavy Rain","2020.12.20","1","3","","","","","1","","","","",""
"Uva","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","3","12","0","0","0","0","3","0","0","0","0","0"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","3","12","0","0","0","0","3","0","0","0","0","0"
"","","","","Heavy rain","","5","19","","","","","5","","","","",""
"","","","","High Wind","2020.12.21","3","13","","","","","5","","","","",""
"","","","Dimbulagala","","","","","","","","","","","","","",""
"","","","","","","4","16","","","","","","","","","",""
"","","නපොනලොන් රුව","","","","","","","","","","","","","","",""
"","","","","","","4","16","","","","","","","","","",""
"උතුරුමැද පලොත","12","nghyd;dWit","","","","","","","","","","","","","","",""
"tlkj;jpa","","","Thamankaduwa","","","32","109","","","","","","","","","",""
"","","Polonnaruwa","","Minor Flood","","","","","","","","","","","","",""
"khfhzk;","","","Dimbulagala","","2020.12.22","4","16","","","","","","","","","",""
"North Central","","","Welikanda","","","51","235","","","","","2","","","","",""
"","","","Lankapura","","","33","107","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","136","531","0","0","0","0","10","0","0","0","0","0"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","136","531","0","0","0","0","10","0","0","0","0","0"
