"","Weather Forecast for Main Cities","","","","15-Feb-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","25","90","65","Mainly fair"
"Batticaloa","30","26","85","75","Several spells of light showers"
"Colombo","34","27","80","55","Showers or thundershowers are likely after 2.00p.m"
"Galle","30","25","90","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","31","24","85","70","Mainly fair"
"Kandy","30","22","85","60","Mainly fair"
"Nuwara-Eliya","19","14","95","70","Several spells of light showers"
"Ratnapura","34","22","95","50","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","31","27","85","65","Several spells of light showers"
"Mannar","31","26","85","65","Mainly fair"
