"දිනය/ගේලාව)","ස
්ථානය","උපරිම සුළගේ ගේෙය (පැයට කි. මි.)","කැළඹිලි ස්වභාවය"
"(ශ්‍රී ලාංකා පැය)","(උතුරු අක්ාාංශ oN","",""
"","නැගෙනහිර ගේශාාංශ  oE)","",""
"12.06.23/1730","19.9/67.5","155-165 විටින් විට 185 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"12.06.23/2330","20.3/67.4","145-155 විටින් විට 175 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"13.06.23/0530","20.7/67.3","145-155 විටින් විට 175 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"13.06.23/1130","21.1/67.3","140-150 විටින් විට 165 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"13.06.23/2330","21.6/67.4","135-145 විටින් විට 160 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"14.06.23/1130","22.1/67.6","130-140 විටින් විට 155 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
