"","ප්‍රධාන්‍  න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය","","","","දින්‍ය :     2024-02-02"
"","","උෂ්ණත්වය(පස. අංශ්‍ක)","","සාපේක්ෂ ආර්ද්‍රතාවය(%)",""
"න්‍ගරය","","","","",""
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","31","24","95","70","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"මඩකලපුව","30","24","95","75","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"හකාළඹ","31","25","90","65","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"ොේල","30","25","90","70","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"යාපනය","30","24","85","70","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"ම නුවර","31","21","95","65","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"නුවරඑළිය","20","12","95","75","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"රත්නපුරය","33","23","95","70","වැසි සරවේපයක්"
"ිකුණාමලය","30","24","90","70","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"මන්නාරම","31","25","85","70","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
