"","","","Relative","Humidity",""
"","","Temperature (0C)","","",""
"City","","","(%)","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","25","90","70","Several spells of showers"
"Batticaloa","30","25","85","80","Showers at times"
"Colombo","33","25","90","60","Showers or thundershowers are likely after 2.00p.m"
"Galle","32","25","90","80","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","30","24","90","80","Several spells of showers"
"Kandy","30","22","90","70","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","20","13","90","70","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","33","22","90","80","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","32","25","90","80","Showers at times"
"Mannar","30","25","90","80","Several spells of showers"
