"","Weather Forecast for Main Cities","","","Date :","7-Jan-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","20","90","60","A few showers"
"Batticaloa","29","24","90","70","A few showers"
"Colombo","31","24","75","60","Mainly fair"
"Galle","29","24","85","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","29","24","90","60","A few showers"
"Kandy","30","20","90","60","Mainly fair"
"Nuwara-Eliya","21","11","90","70","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","33","23","95","75","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","29","22","90","65","A few showers"
"Mannar","29","25","85","65","Mainly fair"
