"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","2122","6100","0","0","","0","4
280","0","6","0
0","0","",""
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","2242","6528","0","0","","0","4
289","0","6","1
1","6","",""
"","","Paathhewaheta","","2020.12.09","1","1","","","","","1","","","","","",""
"","","Delthota","","2020.12.10","2","3","","","","","2","","","","","",""
"","","මහනුෙර       
Udunuwara","","2020.12.07","1","4","","","","","1","","","","","",""
"","3","fz;b","High Wind","","","","","","","","","","","","","",""
"මධයම පලාත","","Meda dumbara","","2020.12.08","2","8","","","","","1","1","","","","",""
"","","Kandy","","","","","","","","","","","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","","","","","",""
"Central","","Yatinuwara","","2020.12.05","3","12","","","","","3","","","","","",""
"","","Ganga Ihala Korale","","2020.12.12","1","3","","","","","1","","","","","",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","10","31","0","0","","0","0
9","1","0","0
0","0","",""
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","10","31","0","0","","0","0
9","1","0","0
0","0","",""
"","","හම්බනවතාට","Elephant attack","","2","6","1","1","","","1","","","","","",""
"","","Sooriyawewa","","","","","","","","","","","","","","",""
"","4","`k;ghe;Njhl;l","Heavy rain","2020.12.16","1","1","","","","","1","","","","","",""
"දකුනු පලාත njd;","","","","","","","","","","","","","","","","",""
"","","Hambantota
Hambanthota","Drawning","","1","1","1","","","","","","","","","",""
"khfhzk","","","","","","","","","","","","","","","","",""
"Southern","","","","","","","","","","","","","","","","",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","4","8","2","1","","0","1
1","0","0","0
0","0","",""
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","4","8","2","1","","0","1
1","0","0","0
0","0","",""
"","","ත්‍රීකුණාමලය  
Kanthale","Airplane crash","2020.12.15","","1","1","","","","","","","","","",""
"","5","jp.kiy","","","","","","","","","","","","","","",""
"නැවෙනහිර පලාත","","Town & Grevets","High Wind","2020.12.02","5","21","","","","","","","","","","",""
"","","Trincomalee","","","","","","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","","","","",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","5","22","1","0","","0","0
0","0","0","0
0","0","",""
"Eastern","","","","","","","","","","","","","","","","",""
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","5","22","1","0","","0","0
0","0","0","0
0","0","",""
"","","කෑෙල්ල   
Kegalle","Tree Falean","2020.12.17","1","2","","","","","1","","","","","",""
"","6","Nffhiy","","","","","","","","","","","","","","",""
"සබරෙමුෙ පලාත","","Yatiyanthota","High Wind","2020.12.03","1","5","","","","","1","","","","","",""
"","","Kegalle","","","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","",""
"Sabaragamuwa","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","2","7","0","0","","0","0
2","0","0","0
0","0","",""
