"","","","Abanganakorale","","","5","22","","","","","5","","","","",""
"","","","Ratthota","","","1","5","","","","","1","","","","",""
"","","මාතගේ/khj;jis/","Dambulla","","","2","7","","","","","2","","","","",""
"","6","","","Heavy Rain","2018/10/07/08","","","","","","","","","","","",""
"","","Matale","Galewela","","","3","10","","","","","3","","","","",""
"","","","Ukuwela","","","2","7","","","","","2","","","","",""
"","","","Yatawattha","","","1","4","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","14","55","0","0","0","0","14","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","291","1166","0","8","0","9","218","0","0","1","13","58"
"","","හම්බන්ගතොට","","","","","","","","","","","","","","",""
"","6","`k;ghe;Njhl;il","Weeraketiya","High Wind","2018.09.25/30","2","4","","","","","2","","","","",""
"","","Hambantota","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","2","4","0","0","0","0","2","0","0","0","0","0"
"","","","Akmeemana","","","300","1125","","","","1","30","","","","",""
"","","","Niyagama","Flood","","173","668","","","","1","172","33","","","",""
"","","","Yakkalamulla","","","508","1746","","","","7","63","168","","","",""
"","","","Baddegama","Flood / Cutting failure","","62","123","","","","","2","","","","",""
"දකුනු","","","","","","","","","","","","","","","","",""
"පලාත/njd;","","","Thawalam","Cutting failure","","23","96","","","","1","17","2","","","",""
"","","ොේල","Habaraduwa","Flood","","150","620","","","","","16","2","","","",""
"khfhzk;/","","","","","","","","","","","","","","","","",""
"","7","fhyp","Nagoda","Flood / Cutting failure","2018.10.06","414","1670","1","","","4","80","16","","","",""
"Southern/ ;","","","","","","","","","","","","","","","","",""
"","","Galle","Kadawathsathara","","","773","2657","","","","","2","","","","",""
"","","","","Flood","","","","","","","","","","","","",""
"","","","Imaduwa","","","206","791","","","","2","36","3","","","",""
"","","","Elpitiya","Flood / Cutting failure","","492","2001","1","","","","197","17","","","",""
"","","","Walivita Divithura","Flood","","16","64","","","","","1","","","","",""
"","","","Bope Poddala","","","14","62","","","","","9","","","","",""
"","","","Karandeniya","Heavy Rain","","2","9","","","","","2","","","","",""
"","","","Benthota","","","283","1311","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif    District Total","","","","3416","12943","2","0","0","16","628","241","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","3418","12947","2","0","0","16","630","241","0","0","0","0"
"","","","","Heavy Rain","2018.10.01","1","2","","","","","1","","","","",""
"","","","Ruwanwella","","","","","","","","","","","","","",""
"","","","","High Wind","2018.10.03","2","7","","","","","1","","","","",""
"","","","Galigamuwa","Cutting failure","2018.10.05","3","9","","","","","3","","","","",""
"","","","Deraniyagala","Cutting failure","2018.09.30","2","7","","","","","2","","","","",""
"","","","Aranayaka","High Wind","","1","4","","","","","1","","","","",""
"","","","","Cutting failure","2018.10.01/03","1","4","","","","","","","","","",""
"","","","","Heavy Rain","","1","2","","","","","1","","","","",""
"","","","","Tree Fallen","2018.10.02","2","5","","","","","2","","","","",""
"","","කෑෙේල","Kegalle","","","","","","","","","","","","","",""
"","8","Nffhiy","","High Wind","2018.10.04","1","2","","","","","1","","","","",""
"","","Kegalle","","High Wind","2018.10.05","1","5","","","","","1","","","","",""
"සබරෙමුව","","","","","","","","","","","","","","","","",""
"පලාත/rg;ufK","","","","","2018.09.26","5","10","","","","","3","","","","",""
"","","","","High Wind/ Tree","","","","","","","","","","","","",""
"t/","","","Mawanella","","2018.09.29/10.05","6","26","1","3","","","6","5","","","",""
"","","","","Fallen/ Lightning/","","","","","","","","","","","","",""
"Sabaragam","","","Yatiyantota","","2018.09.29","9","35","","","","","9","","","","",""
"","","","","Cutting failure","","","","","","","","","","","","",""
"uwa/","","","Dehiowita","","2018.09.30 /10.05","2","9","","","","","1","","","","",""
"","","","","Lightning","2018.10.03","1","5","","","","","1","","","","",""
"","","","Warakapola","","","","","","","","","","","","","",""
"","","","","","2018.10.04","1","3","","","","","1","","","","",""
"","","","","High Wind/ Cutting","","","","","","","","","","","","",""
"","","","Rambukkana","","2018.10.02","5","18","","","","","5","","","","",""
"","","","","failure","","","","","","","","","","","","",""
"","","","Bulathkohupitiya","","2018.10.04","3","10","","","","","2","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","47","163","1","3","0","0","41","5","0","0","0","0"
"","","රත්නපුර","","Cutting failure","","1","5","","1","","","1","","","","",""
"","","","Rathnapura","","2018.10.02","","","","","","","","","","","",""
"","9",",uj;jpdGhp","","Drowning","","1","7","1","","","","","","","","",""
"","","Rathnapura","Nivithigala","Tree Fallen","2018.10.03","2","7","1","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","4","19","2","1","0","0","1","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","51","182","3","4","0","0","42","5","0","0","0","0"
"","","ගමොණරාෙල","","High wind","","5","18","","","","","5","","","","",""
"ඌව/Cth","10","nkhdwhfiy","Bibila","","2018.10.05","","","","","","","","","","","",""
"","","","","Lightning","","2","8","","","","","2","","","","",""
"khfhzk;/U","","Moneragala","","","","","","","","","","","","","","",""
