"","","","Relative","Humidity",""
"","","Temperature (0C)","","",""
"City","","","(%)","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","29","24","95","70","Showers or thundershowers at times"
"Batticaloa","28","25","95","80","Showers or thundershowers at times"
"Colombo","30","25","90","60","Showers or thundershowers after 2.00p.m"
"Galle","31","24","95","75","Showers or thundershowers after 2.00p.m"
"Jaffna","28","24","95","85","Several spells of showers"
"Kandy","28","22","95","70","Showers or thundershowers at times"
"Nuwara-Eliya","19","15","95","80","Showers or thundershowers at times"
"Ratnapura","31","24","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","29","25","95","85","Showers or thundershowers at times"
"Mannar","29","25","95","75","Several spells of showers"
